LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FRA,HUR,TOT,PC_LF,A,1983,8.758333,
FRA,HUR,TOT,PC_LF,A,1984,10.05,
FRA,HUR,TOT,PC_LF,A,1985,10.38333,
FRA,HUR,TOT,PC_LF,A,1986,10.55,
FRA,HUR,TOT,PC_LF,A,1987,10.65,
FRA,HUR,TOT,PC_LF,A,1988,10.06667,
FRA,HUR,TOT,PC_LF,A,1989,9.675,
FRA,HUR,TOT,PC_LF,A,1990,9.366667,
FRA,HUR,TOT,PC_LF,A,1991,9.625,
FRA,HUR,TOT,PC_LF,A,1992,10.64167,
FRA,HUR,TOT,PC_LF,A,1993,11.825,
FRA,HUR,TOT,PC_LF,A,1994,12.275,
FRA,HUR,TOT,PC_LF,A,1995,11.95,
FRA,HUR,TOT,PC_LF,A,1996,12.4,
FRA,HUR,TOT,PC_LF,A,1997,12.33333,
FRA,HUR,TOT,PC_LF,A,1998,12.05,
FRA,HUR,TOT,PC_LF,A,1999,11.31667,
FRA,HUR,TOT,PC_LF,A,2000,9.558333,
FRA,HUR,TOT,PC_LF,A,2001,8.741667,
FRA,HUR,TOT,PC_LF,A,2002,8.633333,B
FRA,HUR,TOT,PC_LF,A,2003,8.508333,
FRA,HUR,TOT,PC_LF,A,2004,8.9,
FRA,HUR,TOT,PC_LF,A,2005,8.883333,
FRA,HUR,TOT,PC_LF,A,2006,8.85,
FRA,HUR,TOT,PC_LF,A,2007,8.016666,
FRA,HUR,TOT,PC_LF,A,2008,7.433333,
FRA,HUR,TOT,PC_LF,A,2009,9.116667,
FRA,HUR,TOT,PC_LF,A,2010,9.275,
FRA,HUR,TOT,PC_LF,A,2011,9.216666,
FRA,HUR,TOT,PC_LF,A,2012,9.758333,
FRA,HUR,TOT,PC_LF,A,2013,10.3,
FRA,HUR,TOT,PC_LF,A,2014,10.275,
FRA,HUR,TOT,PC_LF,A,2015,10.35,
FRA,HUR,TOT,PC_LF,A,2016,10.06667,
FRA,HUR,TOT,PC_LF,A,2017,9.425,
FRA,HUR,TOT,PC_LF,A,2018,9.025,
FRA,HUR,TOT,PC_LF,A,2019,8.433333,
FRA,HUR,TOT,PC_LF,A,2020,8.033334,
DEU,HUR,TOT,PC_LF,A,1991,5.525,
DEU,HUR,TOT,PC_LF,A,1992,6.566667,
DEU,HUR,TOT,PC_LF,A,1993,7.791667,
DEU,HUR,TOT,PC_LF,A,1994,8.45,
DEU,HUR,TOT,PC_LF,A,1995,8.25,
DEU,HUR,TOT,PC_LF,A,1996,8.941667,
DEU,HUR,TOT,PC_LF,A,1997,9.675,
DEU,HUR,TOT,PC_LF,A,1998,9.45,
DEU,HUR,TOT,PC_LF,A,1999,8.625,
DEU,HUR,TOT,PC_LF,A,2000,8.008333,
DEU,HUR,TOT,PC_LF,A,2001,7.858333,
DEU,HUR,TOT,PC_LF,A,2002,8.683333,
DEU,HUR,TOT,PC_LF,A,2003,9.808333,
DEU,HUR,TOT,PC_LF,A,2004,10.5,
DEU,HUR,TOT,PC_LF,A,2005,11.28333,
DEU,HUR,TOT,PC_LF,A,2006,10.275,
DEU,HUR,TOT,PC_LF,A,2007,8.541667,
DEU,HUR,TOT,PC_LF,A,2008,7.425,
DEU,HUR,TOT,PC_LF,A,2009,7.225,
DEU,HUR,TOT,PC_LF,A,2010,6.575,
DEU,HUR,TOT,PC_LF,A,2011,5.516667,
DEU,HUR,TOT,PC_LF,A,2012,5.083333,
DEU,HUR,TOT,PC_LF,A,2013,4.95,
DEU,HUR,TOT,PC_LF,A,2014,4.708333,
DEU,HUR,TOT,PC_LF,A,2015,4.366667,
DEU,HUR,TOT,PC_LF,A,2016,3.908333,
DEU,HUR,TOT,PC_LF,A,2017,3.566667,
DEU,HUR,TOT,PC_LF,A,2018,3.208333,
DEU,HUR,TOT,PC_LF,A,2019,2.975,
DEU,HUR,TOT,PC_LF,A,2020,3.625,
